Temperatura de Melting (Cº),Conteúdo GC (%)
85.949,52.07
86.070,53.25
86.283,53.15
85.839,52.13
84.238,48.69
87.112,54.80
86.097,52.43
83.683,49.54
83.685,48.55
83.956,48.78
85.434,53.44
84.988,50.59
84.184,49.27
87.182,55.09
85.301,50.68
84.660,48.75
87.384,56.64
88.413,57.80
86.137,53.93
87.607,55.98
87.257,55.26
79.844,50.00
83.282,50.72
89.195,59.55
79.383,37.57
81.766,42.27
84.420,50.00
86.565,53.70
85.754,51.69
86.161,53.49
87.728,57.53
87.259,55.84
87.481,56.73
85.649,52.15
87.605,56.54
83.655,46.89
85.781,52.60
82.747,45.68
85.106,50.23
83.710,48.89
84.670,51.72
87.542,55.91
85.417,51.74
87.504,55.57
87.312,55.67
86.921,54.76
86.051,52.99
82.585,44.48
85.829,53.07
84.738,49.12
84.578,48.95
78.928,38.05
87.084,55.00
86.417,53.46
86.132,52.63
86.295,53.06
84.198,49.78
78.645,36.41
80.033,38.20
86.270,52.90
86.544,53.86
82.093,52.63
83.699,50.00
83.912,49.38
84.767,50.22
84.856,51.52
85.964,52.41
86.393,53.36
84.992,51.34
84.562,49.49
85.275,50.86
83.794,47.78
86.262,53.40
84.787,51.71
85.568,51.57
85.362,51.53
87.027,55.14
86.053,52.65
87.017,55.11
86.702,54.38
86.077,52.48
85.780,52.47
78.513,41.33
84.966,50.52
86.339,54.06
86.302,53.35
85.515,51.77
86.792,54.62
82.469,44.13
84.400,48.72
84.994,49.86
85.668,51.19
86.511,53.66
80.227,44.64
79.981,38.81
82.409,48.20
82.516,48.61
80.447,44.27
82.332,49.18
85.960,53.16
84.270,49.20
82.618,45.05
80.523,39.38
83.071,46.09
79.107,36.29
82.246,45.36
81.946,47.22
84.972,51.41
85.032,51.71
84.470,53.62
80.926,47.06
85.050,51.63
87.024,54.54
87.015,55.02
85.760,51.48
84.363,51.23
84.480,52.17
86.979,55.96
85.482,53.23
87.098,55.78
85.326,52.97
86.245,55.76
86.654,53.46
84.879,52.42
87.178,56.08
88.475,59.14
87.662,57.89
87.836,56.30
86.275,54.17
88.398,58.24
82.789,48.15
78.266,33.84
82.377,43.82
80.696,39.91
80.633,47.41
82.251,44.06
85.512,52.83
87.460,55.97
86.633,54.18
88.215,57.92
87.504,56.75
86.598,54.72
86.390,53.02
85.594,51.82
86.593,54.14
85.265,52.05
86.902,56.17
85.867,56.10
87.238,57.17
83.964,48.23
81.541,42.30
86.227,53.29
86.813,54.43
86.950,55.38
86.029,54.50
85.930,52.39
87.092,55.20
87.437,55.67
87.903,57.33
86.425,54.32
87.612,56.29
78.909,34.77
86.721,53.79
87.244,55.76
87.318,55.80
83.563,50.19
83.758,50.56
85.508,52.05
86.699,53.70
84.662,52.87
86.608,54.26
86.575,53.41
86.041,53.25
86.071,53.48
84.374,49.13
83.838,48.61
86.314,53.60
84.987,51.36
84.541,48.67
85.646,53.21
85.851,52.19
86.215,53.31
86.180,52.67
87.304,55.61
83.280,46.32
86.758,54.67
86.161,53.70
87.139,55.87
87.749,56.72
86.797,54.06
85.994,52.24
86.482,53.96
85.931,52.63
81.757,41.63
82.355,43.49
82.270,46.06
80.453,41.09
86.105,52.64
83.564,48.70
85.650,51.70
85.289,51.67
85.785,51.95
84.876,50.33
85.421,52.09
85.909,52.23
85.004,53.41
83.029,45.71
87.174,55.33
85.042,51.40
85.711,51.48
83.643,48.94
81.714,45.74
83.806,50.35
85.701,52.42
87.366,56.15
83.793,48.64
85.338,50.94
86.767,54.41
85.306,51.05
86.796,54.85
85.174,51.94
86.956,54.88
82.797,44.57
78.925,38.01
86.031,52.36
83.429,46.86
85.848,52.91
86.618,54.67
84.381,49.18
85.755,52.54
86.020,53.88
77.933,32.77
78.539,37.46
85.755,54.63
87.586,56.80
86.726,54.44
86.813,54.30
87.356,55.99
86.910,54.39
87.105,55.42
86.945,54.51
84.343,48.78
85.506,52.01
86.273,52.86
84.793,49.75
86.348,53.41
86.712,53.83
82.540,48.44
81.863,45.17
86.252,52.61
82.462,48.40
86.232,53.76
86.681,53.83
86.498,53.37
86.198,53.21
83.437,47.68
86.930,54.03
84.985,50.98
86.370,53.27
86.107,52.67
86.294,52.68
85.254,51.62
87.004,55.32
83.000,46.09
85.946,52.39
84.119,47.73
84.532,49.53
85.747,51.38
84.244,48.60
85.454,50.82
83.643,47.47
85.073,50.32
85.138,50.31
84.827,50.20
86.168,53.65
85.591,51.19
83.286,49.12
85.043,49.67
85.454,50.83
87.033,55.22
85.942,52.31
81.884,48.09
86.240,53.68
85.758,52.24
85.547,51.92
85.442,51.65
86.060,52.53
85.301,51.49
87.673,55.82
86.394,53.08
84.452,49.91
85.451,52.01
85.961,52.39
83.981,47.66
86.141,52.68
85.444,51.12
86.691,53.62
86.938,55.34
86.891,55.18
88.040,57.50
85.904,52.50
86.098,53.82
81.285,42.22
82.936,45.73
84.493,49.03
83.879,48.85
83.496,47.52
83.425,46.39
84.139,49.17
85.023,50.18
86.903,54.24
86.406,53.09
85.884,52.15
85.233,50.34
85.604,52.66
84.132,54.17
85.289,51.67
85.919,51.96
82.803,46.36
86.397,53.60
83.696,48.24
83.760,47.94
86.069,52.20
83.685,48.55
86.304,52.80
85.427,52.72
84.862,50.53
86.470,55.56
86.277,55.97
85.881,52.21
84.710,52.69
82.518,46.67
84.767,50.30
82.659,44.51
80.727,43.62
84.866,49.19
78.952,40.62
78.958,40.74
77.642,37.63
79.492,38.72
79.776,45.74
81.406,48.08
81.956,45.83
80.020,43.23
82.626,46.27
81.391,44.69
84.708,51.17
82.415,45.39
86.331,53.39
85.527,51.94
86.001,53.05
83.004,47.10
78.344,34.37
80.886,47.83
83.919,52.11
86.173,53.05
85.489,53.49
80.639,41.67
79.758,37.73
83.829,51.25
81.272,42.01
87.378,55.48
85.564,54.13
85.923,53.15
83.487,49.21
86.127,54.10
86.680,59.68
81.374,50.88
86.230,54.31
79.288,39.56
84.074,52.66
83.291,49.28
84.895,51.97
87.498,58.62
88.552,58.48
81.233,44.86
86.345,52.93
85.460,56.04
87.853,56.75
89.369,60.49
86.437,56.03
84.525,52.43
86.559,54.76
85.571,53.24
86.767,56.28
88.845,58.88
86.991,57.58
87.823,57.65
87.759,57.39
88.697,60.14
85.695,53.03
88.395,57.66
86.753,55.33
89.138,60.05
83.093,48.89
87.023,55.05
87.818,56.58
85.447,51.84
88.036,58.50
86.562,55.89
86.776,54.78
86.761,54.11
86.276,53.21
86.603,53.87
85.462,50.71
85.245,52.35
85.321,50.88
86.012,52.07
85.581,52.07
83.894,48.22
87.250,58.50
80.454,43.66
84.438,48.79
87.022,54.41
86.289,53.35
85.951,53.10
85.516,51.32
87.337,55.20
85.592,52.50
85.642,54.58
86.170,53.20
85.790,51.93
82.308,47.81
83.783,46.99
81.416,44.56
81.137,43.67
81.560,44.91
83.613,47.60
83.522,49.65
78.343,38.36
82.326,48.15
81.995,48.15
83.748,47.55
82.778,49.10
82.516,48.61
81.515,46.88
81.884,48.09
85.599,52.28
85.755,52.42
83.786,50.17
76.518,36.81
80.506,45.45
79.212,38.21
80.325,42.46
82.442,47.25
81.660,47.54
82.164,44.44
82.943,45.87
82.136,47.69
81.301,44.11
80.186,45.58
82.977,45.44
85.238,50.45
79.904,41.11
81.771,45.52
82.136,47.69
83.377,50.21
85.520,53.02
85.230,51.89
83.297,46.53
84.056,48.41
84.507,49.83
81.049,45.64
84.486,50.57
82.829,45.00
80.056,41.48
87.085,54.75
86.499,54.05
85.564,54.13
85.219,54.07
83.533,52.22
85.296,54.21
84.604,53.70
86.153,54.12
83.012,46.32
81.301,48.30
86.132,54.41
86.680,59.68
80.631,42.52
83.552,51.47
84.247,48.70
84.951,49.62
86.113,52.31
86.206,53.17
85.680,51.69
85.274,52.82
85.826,53.68
85.604,52.66
85.167,51.31
89.500,60.63
83.093,48.89
79.609,42.33
85.975,52.15
84.893,49.72
79.861,40.86
81.406,42.23
83.241,46.39
84.564,51.00
85.918,53.12
86.896,56.38
84.067,51.59
84.876,49.68
87.101,54.29
81.396,43.77
83.341,50.70
82.791,46.72
85.388,51.82
80.777,44.29
82.854,48.07
82.963,49.55
83.435,47.14
86.520,53.65
88.076,58.99
87.017,56.01
87.975,57.80
85.644,53.75
86.684,54.89
87.195,55.49
85.035,51.02
87.969,56.57
86.740,54.08
84.906,49.70
86.648,54.51
85.393,51.06
86.522,53.69
85.758,52.02
81.716,43.96
83.693,46.76
82.827,44.33
84.094,47.32
80.341,38.56
79.631,36.69
77.634,33.54
78.103,33.70
81.593,42.27
83.130,46.23
84.672,49.14
85.730,51.29
83.111,46.15
84.984,51.16
77.174,31.89
84.973,49.28
82.004,42.47
80.878,42.28
85.174,51.05
83.705,48.09
79.847,40.78
84.669,49.27
86.655,53.54
86.130,52.78
84.446,48.95
82.551,44.77
86.105,53.58
84.002,47.52
83.857,47.78
86.088,52.56
84.434,48.94
81.051,40.63
84.558,48.96
77.931,32.45
81.853,45.45
82.022,42.64
82.115,44.15
84.485,48.28
88.552,58.48
87.498,58.62
85.002,52.23
85.365,51.40
84.019,48.89
79.348,40.08
78.398,37.11
79.911,40.00
78.056,32.84
81.806,45.65
86.239,53.79
85.306,53.80
84.800,52.34
86.863,54.28
86.309,54.84
88.395,59.11
86.117,53.72
80.555,42.80
76.419,29.91
86.902,56.17
83.745,48.83
85.202,52.99
86.843,54.28
86.538,54.20
85.377,53.51
85.252,53.33
84.156,49.57
86.360,53.35
86.570,54.13
86.569,53.98
86.184,53.49
86.774,54.42
85.025,50.24
84.752,50.52
86.916,54.75
84.124,49.56
85.727,51.97
85.846,53.20
84.817,50.69
82.521,46.93
85.837,51.65
74.599,29.22
80.861,42.56
79.156,41.03
81.256,46.67
82.442,47.25
81.839,47.47
82.095,43.02
84.676,52.38
84.777,52.90
79.175,37.47
85.063,51.57
86.307,54.17
82.562,48.29
82.369,48.96
86.268,53.49
84.686,51.99
85.999,52.63
85.543,51.34
85.676,52.58
85.522,54.81
81.224,41.71
84.607,50.50
84.804,51.41
76.731,35.52
87.997,57.73
88.174,57.19
86.058,52.12
86.523,54.08
86.866,54.72
86.717,54.70
86.480,55.14
88.005,58.91
84.441,53.15
87.073,57.33
84.887,52.00
85.634,53.05
83.289,51.01
84.150,48.40
85.370,51.22
84.111,48.51
85.940,53.51
86.092,54.02
84.948,50.36
80.907,41.97
81.174,42.82
81.263,41.78
80.887,41.67
84.445,50.33
81.005,42.94
81.432,44.23
84.924,51.12
85.256,50.47
82.631,44.30
85.026,49.90
87.158,54.77
83.567,50.88
84.231,50.40
85.992,52.77
84.594,49.19
83.037,46.35
84.916,50.97
75.979,37.72
85.924,52.37
81.590,45.49
82.534,47.97
86.195,53.10
83.449,47.42
84.185,48.92
87.343,55.75
84.440,49.74
85.514,52.16
86.767,54.65
86.409,53.26
83.365,47.96
84.397,51.70
85.574,52.27
85.528,53.24
85.330,52.84
86.567,54.60
85.699,51.74
88.589,59.39
86.411,54.02
85.946,53.08
86.662,54.19
86.828,54.78
85.844,51.82
85.263,50.94
87.624,55.81
85.648,51.88
84.073,48.72
84.207,49.43
84.176,54.02
85.766,52.07
86.853,54.82
86.846,54.84
85.250,51.29
82.339,47.68
86.285,53.14
84.985,50.49
85.052,50.34
86.154,53.74
86.800,54.63
85.287,51.25
86.052,52.44
85.134,49.91
84.353,50.83
84.077,50.00
87.176,56.23
86.012,52.97
86.231,53.22
83.384,47.33
85.944,52.26
85.765,53.15
84.682,50.00
82.350,47.29
86.203,53.23
87.234,54.82
84.476,48.88
86.726,54.25
86.790,55.13
85.609,51.49
86.245,53.40
85.291,51.22
85.412,51.19
84.952,50.44
83.030,45.31
82.333,47.04
83.297,48.41
81.094,41.86
83.324,50.22
81.300,42.56
80.946,42.90
85.381,52.82
86.814,54.62
86.980,56.74
85.932,53.00
84.988,52.83
85.306,53.80
82.667,47.17
81.636,44.65
84.352,50.23
79.166,41.15
84.131,48.98
79.662,47.62
84.111,52.58
86.486,53.81
84.996,52.27
83.894,47.81
84.648,56.46
84.132,54.17
86.877,54.23
81.211,46.45
85.674,55.19
84.794,54.17
82.703,46.96
86.383,54.68
83.012,46.32
81.301,48.30
86.434,55.13
87.045,59.90
81.264,45.33
77.638,39.72
78.478,46.67
86.834,56.83
86.549,54.96
88.306,57.82
89.246,60.01
85.918,56.76
87.576,55.80
86.065,55.35
87.305,58.12
87.446,57.72
88.051,60.00
86.046,53.28
87.073,57.33
86.143,57.62
88.236,57.29
87.055,57.60
87.999,58.08
79.822,41.18
82.476,44.25
88.056,58.13
83.373,51.61
75.289,38.89
79.227,35.46
77.757,31.72
80.007,39.56
86.839,54.86
83.326,52.47
78.983,38.77
81.059,40.31
